Ukprn,Provider,Award,Date
"10007849","University of Abertay Dundee","Silver","June 2017"
"10007856","Aberystwyth University","Gold","June 2018"
"10000055","Abingdon and Witney College","Silver","June 2018"
"10067853","ACM Guildford Limited","Bronze","June 2019"
"10004927","Activate Learning","Silver","June 2017"
"10000163","AECC University College","Silver","June 2017"
"10000248","ALRA","Silver","June 2019"
"10000291","Anglia Ruskin University Higher Education Corporation","Silver","June 2017"
"10005451","Arden University Limited","Provisional","June 2019"
"10000381","Arts Educational Schools(The)","Gold","June 2019"
"10000385","The Arts University Bournemouth","Gold","June 2017"
"10007162","University of the Arts, London","Silver","June 2017"
"10000415","Askham Bryan College","Bronze","June 2018"
"10020416","Assemblies of God Incorporated","Bronze","June 2019"
"10007759","Aston University","Gold","June 2017"
"10007857","Bangor University","Gold","June 2017"
"10000533","Barnet & Southgate College","Bronze","June 2018"
"10007850","The University of Bath","Gold","June 2017"
"10001465","Bath College","Silver","June 2018"
"10000571","Bath Spa University","Silver","June 2017"
"10007152","University of Bedfordshire","Silver","June 2017"
"10037544","BIMM Limited","Bronze","June 2019"
"10007760","Birkbeck College","Silver","June 2017"
"10006840","The University of Birmingham","Gold","June 2017"
"10000712","University College Birmingham","Silver","June 2017"
"10007140","Birmingham City University","Silver","June 2017"
"10000720","Bishop Auckland College","Bronze","June 2019"
"10000721","Bishop Burton College","Bronze","June 2019"
"10007811","Bishop Grosseteste University","Gold","June 2017"
"10000747","Blackburn College","Bronze","June 2017"
"10000754","Blackpool and the Fylde College","Gold","June 2017"
"10006841","The University of Bolton","Silver","June 2017"
"10000812","Boston College","Bronze","June 2018"
"10000820","The Bournemouth and Poole College","Bronze","June 2019"
"10000824","Bournemouth University","Silver","June 2017"
"10007785","The University of Bradford","Silver","June 2017"
"10000840","Bradford College","Bronze","June 2017"
"10000878","Bridgwater and Taunton College","Silver","June 2018"
"10000886","University of Brighton","Silver","June 2017"
"10007786","University of Bristol","Silver","June 2017"
"10000894","Bristol Baptist College","Provisional","June 2019"
"10028216","Brit College Limited","Bronze","June 2019"
"10000950","Brooklands College","Silver","June 2018"
"10000961","Brunel University London","Silver","June 2017"
"10007787","The University of Buckingham","Gold","June 2017"
"10000975","Buckinghamshire New University","Silver","June 2018"
"10001000","Burnley College","Silver","June 2018"
"10001004","Burton and South Derbyshire College","Silver","July 2019"
"10001005","Bury College","Silver","June 2018"
"10001093","Calderdale College","Silver","June 2017"
"10007788","University of Cambridge","Gold","June 2017"
"10001116","Cambridge Regional College","Bronze","June 2019"
"10001143","Canterbury Christ Church University","Silver","June 2017"
"10007854","Cardiff Metropolitan University","Silver","June 2017"
"10007814","Cardiff University","Silver","June 2017"
"10002061","Central Bedfordshire College","Silver","June 2018"
"10007141","University of Central Lancashire","Silver","June 2019"
"10007848","University of Chester","Silver","June 2017"
"10007137","The University of Chichester","Silver","June 2017"
"10007817","Chichester College Group","Silver","June 2018"
"10039082","City and Guilds of London Art School Limited","Provisional","June 2019"
"10004772","City College Norwich","Bronze","June 2019"
"10005128","City College Plymouth","Gold","June 2017"
"10001467","City of Bristol College","Silver","June 2017"
"10003955","The City of Liverpool College","Silver","June 2019"
"10001475","City of Sunderland College","Silver","June 2017"
"10001478","City, University of London","Silver","June 2017"
"10007912","Cliff College","Provisional","June 2019"
"10001535","Colchester Institute","Silver","June 2017"
"10001653","The Conservatoire for Dance and Drama","Gold","June 2017"
"10001696","Cornwall College","Silver","June 2017"
"10007761","Courtauld Institute of Art","Silver","June 2017"
"10001726","Coventry University","Gold","June 2017"
"10006427","University for the Creative Arts","Gold","June 2019"
"10007842","The University of Cumbria","Bronze","June 2017"
"10007361","CWR","Provisional","June 2019"
"10001919","DCG","Silver","June 2018"
"10001883","De Montfort University","Gold","June 2017"
"10007851","University of Derby","Gold","June 2017"
"10007852","University of Dundee","Gold","June 2017"
"10007143","University of Durham","Gold","June 2018"
"10002094","Ealing, Hammersmith & West London College","Provisional","June 2020"
"10007789","The University of East Anglia","Gold","August 2017"
"10007144","University of East London","Bronze","June 2019"
"10002126","East Riding College","Silver","June 2018"
"10002130","East Surrey College","Bronze","June 2019"
"10002923","East Sussex College Group","Bronze","June 2019"
"10007823","Edge Hill University","Gold","June 2017"
"10032288","The Edward James Foundation Limited","Provisional","June 2019"
"10007791","The University of Essex","Gold","June 2017"
"10008173","University College of Estate Management","Provisional","June 2019"
"10007792","University of Exeter","Gold","June 2017"
"10002370","Exeter College","Gold","June 2017"
"10008640","Falmouth University","Gold","June 2017"
"10007928","Fareham College","Bronze","June 2019"
"10002412","Farnborough College of Technology","Bronze","June 2017"
"10002599","Furness College","Silver","June 2017"
"10022087","Futureworks Training Limited","Silver","June 2019"
"10002638","Gateshead College","Silver","June 2017"
"10007145","University of Gloucestershire","Silver","June 2017"
"10002718","Goldsmiths' College","Bronze","June 2017"
"10002743","Grantham College","Silver","June 2018"
"10004736","Greater Brighton Metropolitan College","Silver","June 2017"
"10007146","University of Greenwich","Silver","June 2017"
"10007825","Guildhall School of Music & Drama","Gold","June 2018"
"10002843","Hadlow College","Bronze","June 2017"
"10002852","Halesowen College","Silver","June 2017"
"10040812","Harper Adams University","Gold","June 2018"
"10080811","Hartpury University","Gold","June 2017"
"10003022","Hereford College of Arts","Silver","June 2017"
"10003023","Herefordshire, Ludlow, and North Shropshire College","Silver","June 2018"
"10007764","Heriot-Watt University","Silver","June 2017"
"10003035","Hertford Regional College","Silver","June 2017"
"10007147","University of Hertfordshire","Gold","June 2018"
"10003128","Holy Cross College","Bronze","June 2018"
"10003146","Hopwood Hall College","Bronze","June 2017"
"10007148","The University of Huddersfield","Gold","June 2017"
"10003193","Hugh Baird College","Gold","June 2017"
"10007149","The University of Hull","Silver","June 2018"
